Plant,Material,Description,Unrestr.Stock,UOM,Open Cust Ord,Total Open Delv,Open Prod Ord,Open Purch Ord,Open STO,In Transit,Net Available,Current Tons,Safety Stock,Max Stock Lvl,Planning Material,Restric Stock,Blocked Stock,In Qual.Insp (Restr.),Material Group,Outer Diameter,Plant Name,Wall Thickness,City,State,Country,Pincode,Full Location,Material Type,Weekly Forecast,Days of Supply Available,Organisation,Sub Category,Material Category,Column1,,,,,,,,,,,
1600,06440,2      ELBOW RIGID ALUM 45 DEG STD RAD,0.049,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.049,0.008,0.000,R02375146-ALUM,0.000,0.000,0.000,59,2.375,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.01,0.00,Manufacturing Plants,Elbow Blanks,,1600064402      ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
1600,06441,2 1/2  ELBOW RIGID ALUM 45 DEG STD RAD,0.365,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.365,0.365,0.005,0.000,,0.000,0.000,0.000,59,2.875,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.01,0.00,Manufacturing Plants,Elbow Blanks,,1600064412 1/2  ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
3130,06442,3      ELBOW RIGID ALUM 45 DEG STD RAD,0.024,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.024,0.019,0.000,,0.000,0.000,0.000,59,3.500,Carter York Agency,0.0000,Charlotte,NC,USA,28202,"Charlotte, NC, USA",Elbow Blanks,0.02,0.00,Wheatland,Elbow Blanks,,3130064423      ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
3120,06442,3      ELBOW RIGID ALUM 45 DEG STD RAD,0.017,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.017,0.007,0.000,,0.000,0.000,0.000,59,3.500,Bishop & Brogdon,0.0000,Atlanta,GA,USA,30303,"Atlanta, GA, USA",Elbow Blanks,0.01,0.00,Wheatland,Elbow Blanks,,3120064423      ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
1600,06442,3      ELBOW RIGID ALUM 45 DEG STD RAD,0.215,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.215,0.215,0.017,0.000,,0.000,0.000,0.000,59,3.500,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.02,0.00,Manufacturing Plants,Elbow Blanks,,1600064423      ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
1600,06443,3 1/2  ELBOW RIGID ALUM 45 DEG STD RAD,0.078,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.078,0.078,0.000,0.000,,0.000,0.000,0.000,59,4.000,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.00,0.00,Manufacturing Plants,Elbow Blanks,,1600064433 1/2  ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
1600,06444,4      ELBOW RIGID ALUM 45 DEG STD RAD,0.173,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.173,0.173,0.025,0.000,,0.000,0.000,0.000,59,4.500,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.03,0.00,Manufacturing Plants,Elbow Blanks,,1600064444      ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
1600,06445,5      ELBOW RIGID ALUM 45 DEG STD RAD,0.253,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.253,0.253,0.034,0.000,,0.000,0.000,0.000,59,5.563,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.03,0.00,Manufacturing Plants,Elbow Blanks,,1600064455      ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
1600,06446,6      ELBOW RIGID ALUM 45 DEG STD RAD,0.039,TON,0.000,0.105,0.329,0.000,0.000,0.000,0.263,-0.066,0.000,0.000,,0.000,0.000,0.000,59,6.625,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.00,0.00,Manufacturing Plants,Elbow Blanks,,1600064466      ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
3120,06497,1/2    ELBOW RIGID ALUM 90 DEG STD RAD,0.012,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.012,0.000,0.000,R00840104-ALUM,0.000,0.000,0.000,59,0.840,Bishop & Brogdon,0.0000,Atlanta,GA,USA,30303,"Atlanta, GA, USA",Elbow Blanks,0.00,0.00,Wheatland,Elbow Blanks,,3120064971/2    ELBOW RIGID ALUM 90 DEG STD RAD,,,,,,,,,,,
